number,ticker,primary_exchange_code,fundamental_period,earning_value,earning_yoy,earning_plan_to_target,eps_value,eps_accumulated,pe_ratio,fundamental_audit_style,fundamental_status,updated_date,unit,currency
331,DRL,HOSE,2020Q2,23.01,-28.5,51,"2,422.00","4,894.00",10.5,not audited,separated,6/8/2020,billion,dong
332,TDC,HOSE,2020Q2,19.36,71.3,15,194,"1,676.00",4.9,not audited,consolidated,6/8/2020,billion,dong
333,APC,HOSE,2020Q2,25.25,10.5,213,"1,677.00","4,011.00",4.5,not audited,separated,6/8/2020,billion,dong
334,CMV,HOSE,2020Q2,5.62,-28.3,35,464,"1,205.00",10.7,not audited,consolidated,6/8/2020,billion,dong
335,VTJ,HNX,2020Q2,-0.29,-102.2,-6,-26,-36,-111.1,not audited,consolidated,6/8/2020,billion,dong
336,VCC,HNX,2020Q2,2.08,-45.6,na,174,"1,059.00",8.5,not audited,separated,6/8/2020,billion,dong
337,DVP,HOSE,2020Q2,139.43,-1,na,"3,486.00","6,157.00",5.9,not audited,separated,6/8/2020,billion,dong
338,MKV,HNX,2020Q2,2.02,286.5,na,403,652,15.3,not audited,separated,6/8/2020,billion,dong
339,CSM,HOSE,2020Q2,31.58,277.1,28,305,736,20.6,not audited,separated,6/8/2020,billion,dong
340,VNS,HOSE,2020Q2,-126.41,-307.9,147,"-1,863.00","-1,159.00",-9.8,not audited,consolidated,6/8/2020,billion,dong
341,DBC,HOSE,2020Q2,750.08,"2,618.80",164,"8,066.00","11,051.00",4.3,not audited,consolidated,6/8/2020,billion,dong
342,VTV,HNX,2020Q2,4.08,-61,na,131,209,27.3,not audited,separated,6/8/2020,billion,dong
343,VC6,HNX,2020Q2,1.56,7.8,19,195,"1,011.00",7.7,not audited,separated,6/8/2020,billion,dong
344,DST,HNX,2020Q2,5.72,213.5,88,178,323,20.4,not audited,consolidated,6/8/2020,billion,dong
345,TBC,HOSE,2020Q2,75.79,-25.3,62,"1,194.00","1,634.00",14.7,not audited,consolidated,6/8/2020,billion,dong
346,NST,HNX,2020Q2,-16.23,na,na,"-1,449.00",162,64.2,not audited,separated,6/8/2020,billion,dong
347,VID,HOSE,2020Q2,5.33,"2,812.70",44,190,216,52.8,not audited,consolidated,6/8/2020,billion,dong
348,SGC,HNX,2020Q2,15.36,-4.9,na,"2,149.00","4,479.00",12.8,not audited,separated,6/8/2020,billion,dong
349,CAN,HNX,2020Q2,12.52,"1,789.30",108,"2,504.00","5,347.00",4.5,not audited,consolidated,6/8/2020,billion,dong
350,BBC,HOSE,2020Q2,50.11,109.3,na,"3,250.00","7,871.00",5.6,not audited,consolidated,6/8/2020,billion,dong
351,THD,HNX,2020Q2,13.36,na,na,248,na,na,not audited,separated,6/8/2020,billion,dong
352,STK,HOSE,2020Q2,54.89,-49.9,23,780,"2,271.00",6.5,not audited,consolidated,6/8/2020,billion,dong
353,SMB,HOSE,2020Q2,60,-43.1,na,"2,010.00","5,415.00",5.9,not audited,consolidated,6/8/2020,billion,dong
354,TCO,HOSE,2020Q2,8.05,1.3,na,480,974,8.6,not audited,consolidated,6/8/2020,billion,dong
355,THT,HNX,2020Q2,19.18,3.3,na,781,"2,658.00",2.5,not audited,separated,6/8/2020,billion,dong
356,SSM,HNX,2020Q2,3.49,48.6,49,706,"2,217.00",2.6,not audited,separated,6/8/2020,billion,dong
357,TPP,HNX,2020Q2,6.69,"1,011.40",72,343,565,23.5,not audited,separated,6/8/2020,billion,dong
358,TCM,HOSE,2020Q2,115.01,21.1,65,"1,986.00","4,071.00",5.4,not audited,consolidated,6/8/2020,billion,dong
359,VIS,HOSE,2020Q2,-16.49,na,34,-223,"-2,294.00",-6.7,not audited,separated,6/8/2020,billion,dong
360,KDC,HOSE,2020Q2,47.37,-4.6,19,230,321,104,not audited,consolidated,6/8/2020,billion,dong
361,HLD,HNX,2020Q2,14.44,4.3,na,722,"3,831.00",5.1,not audited,separated,6/8/2020,billion,dong
362,QHD,HNX,2020Q2,11.94,870.2,na,"2,162.00","4,169.00",4.8,not audited,separated,6/8/2020,billion,dong
363,KSB,HOSE,2020Q2,159.1,4.1,50,"2,966.00","6,378.00",3.7,not audited,consolidated,6/8/2020,billion,dong
364,HGM,HNX,2020Q2,4.23,-41.6,47,355,272,139.7,not audited,separated,6/8/2020,billion,dong
365,KMT,HNX,2020Q2,1.09,7.2,18,110,748,9.1,not audited,separated,6/8/2020,billion,dong
366,OPC,HOSE,2020Q2,54.64,3.7,56,"2,056.00","4,006.00",13.7,not audited,consolidated,6/8/2020,billion,dong
367,PSC,HNX,2020Q2,4.92,-37.1,na,683,"1,754.00",9,not audited,separated,6/8/2020,billion,dong
368,NHC,HNX,2020Q2,5.38,23.7,61,"1,770.00","4,350.00",6.7,not audited,consolidated,6/8/2020,billion,dong
369,PAC,HOSE,2020Q2,55.88,-30.9,36,"1,203.00","3,154.00",7,not audited,separated,6/8/2020,billion,dong
370,SVI,HOSE,2020Q2,62.23,26.4,59,"4,849.00","12,019.00",4.8,not audited,separated,6/8/2020,billion,dong
371,TAC,HOSE,2020Q2,67.81,40.9,47,"2,002.00","4,602.00",7.4,not audited,separated,6/8/2020,billion,dong
372,GKM,HNX,2020Q2,2.58,237.8,23,178,343,51,not audited,consolidated,6/8/2020,billion,dong
373,HUB,HOSE,2020Q2,31.69,-0.7,63,"2,079.00","4,199.00",4.4,not audited,consolidated,6/8/2020,billion,dong
374,LCM,HOSE,2020Q2,-0.18,-110.9,-9,-7,74,9.5,not audited,consolidated,6/8/2020,billion,dong
375,HU3,HOSE,2020Q2,0.27,-97.2,4,27,"1,019.00",7.2,not audited,separated,6/8/2020,billion,dong
376,MCP,HOSE,2020Q2,8.94,751.8,74,594,740,20,not audited,separated,6/8/2020,billion,dong
377,GIL,HOSE,2020Q2,103.32,64,109,"4,331.00","8,518.00",2.8,not audited,consolidated,6/8/2020,billion,dong
378,HAP,HOSE,2020Q2,8.74,-45.1,42,158,227,14.4,not audited,consolidated,6/8/2020,billion,dong
379,VHM,HOSE,2020Q2,"10,602.31",7.6,34,"3,195.00","6,646.00",12,not audited,consolidated,6/8/2020,billion,dong
380,GDT,HOSE,2020Q2,30.08,-8.9,35,"1,772.00","4,195.00",7.2,not audited,separated,6/8/2020,billion,dong
381,MST,HNX,2020Q2,0.04,-99.1,na,1,435,6,not audited,consolidated,6/8/2020,billion,dong
382,DDG,HNX,2020Q2,1.4,-83.3,9,114,609,45.6,not audited,separated,6/8/2020,billion,dong
383,LDG,HOSE,2020Q2,2.38,-98.8,na,10,"1,700.00",3.5,not audited,consolidated,6/8/2020,billion,dong
384,PDR,HOSE,2020Q2,279.05,15.6,23,843,"2,748.00",9.1,not audited,consolidated,6/8/2020,billion,dong
